threshold:0.05, recall:0.08235294117647059, precise:1.0, number:7, true_num:7
threshold:0.1, recall:0.16470588235294117, precise:1.0, number:14, true_num:14
threshold:0.15, recall:0.24705882352941178, precise:1.0, number:21, true_num:21
threshold:0.2, recall:0.32941176470588235, precise:0.9655172413793104, number:29, true_num:28
threshold:0.25, recall:0.38823529411764707, precise:0.9166666666666666, number:36, true_num:33
threshold:0.3, recall:0.4470588235294118, precise:0.8837209302325582, number:43, true_num:38
threshold:0.35, recall:0.5294117647058824, precise:0.9, number:50, true_num:45
threshold:0.4, recall:0.6235294117647059, precise:0.9137931034482759, number:58, true_num:53
threshold:0.45, recall:0.7058823529411765, precise:0.9230769230769231, number:65, true_num:60
threshold:0.5, recall:0.788235294117647, precise:0.9305555555555556, number:72, true_num:67
threshold:0.55, recall:0.8470588235294118, precise:0.9113924050632911, number:79, true_num:72
threshold:0.6, recall:0.9294117647058824, precise:0.9080459770114943, number:87, true_num:79
threshold:0.65, recall:1.0, precise:0.9042553191489362, number:94, true_num:85
threshold:0.7, recall:1.0, precise:0.8415841584158416, number:101, true_num:85
threshold:0.75, recall:1.0, precise:0.7870370370370371, number:108, true_num:85
threshold:0.8, recall:1.0, precise:0.7327586206896551, number:116, true_num:85
threshold:0.85, recall:1.0, precise:0.6910569105691057, number:123, true_num:85
threshold:0.9, recall:1.0, precise:0.6538461538461539, number:130, true_num:85
threshold:0.95, recall:1.0, precise:0.6204379562043796, number:137, true_num:85
threshold:1.0, recall:1.0, precise:0.5862068965517241, number:145, true_num:85

threshold:0.05, recall:0.09, precise:1.0, number:9, true_num:9
threshold:0.1, recall:0.18, precise:1.0, number:18, true_num:18
threshold:0.15, recall:0.27, precise:1.0, number:27, true_num:27
threshold:0.2, recall:0.36, precise:1.0, number:36, true_num:36
threshold:0.25, recall:0.46, precise:1.0, number:46, true_num:46
threshold:0.3, recall:0.55, precise:1.0, number:55, true_num:55
threshold:0.35, recall:0.64, precise:1.0, number:64, true_num:64
threshold:0.4, recall:0.73, precise:1.0, number:73, true_num:73
threshold:0.45, recall:0.82, precise:1.0, number:82, true_num:82
threshold:0.5, recall:0.92, precise:1.0, number:92, true_num:92
threshold:0.55, recall:1.0, precise:0.9900990099009901, number:101, true_num:100
threshold:0.6, recall:1.0, precise:0.9090909090909091, number:110, true_num:100
threshold:0.65, recall:1.0, precise:0.8403361344537815, number:119, true_num:100
threshold:0.7, recall:1.0, precise:0.78125, number:128, true_num:100
threshold:0.75, recall:1.0, precise:0.7246376811594203, number:138, true_num:100
threshold:0.8, recall:1.0, precise:0.6802721088435374, number:147, true_num:100
threshold:0.85, recall:1.0, precise:0.6410256410256411, number:156, true_num:100
threshold:0.9, recall:1.0, precise:0.6060606060606061, number:165, true_num:100
threshold:0.95, recall:1.0, precise:0.5747126436781609, number:174, true_num:100
threshold:1.0, recall:1.0, precise:0.5434782608695652, number:184, true_num:100


threshold:0.05, recall:0, precise:0, number:0, true_num:0
threshold:0.1, recall:0, precise:0, number:0, true_num:0
threshold:0.15, recall:0, precise:0, number:0, true_num:0
threshold:0.2, recall:0.3333333333333333, precise:1.0, number:1, true_num:1
threshold:0.25, recall:0.3333333333333333, precise:1.0, number:1, true_num:1
threshold:0.3, recall:0.3333333333333333, precise:1.0, number:1, true_num:1
threshold:0.35, recall:0.6666666666666666, precise:1.0, number:2, true_num:2
threshold:0.4, recall:0.6666666666666666, precise:1.0, number:2, true_num:2
threshold:0.45, recall:0.6666666666666666, precise:1.0, number:2, true_num:2
threshold:0.5, recall:1.0, precise:1.0, number:3, true_num:3
threshold:0.55, recall:1.0, precise:1.0, number:3, true_num:3
threshold:0.6, recall:1.0, precise:1.0, number:3, true_num:3
threshold:0.65, recall:1.0, precise:1.0, number:3, true_num:3
threshold:0.7, recall:1.0, precise:0.75, number:4, true_num:3
threshold:0.75, recall:1.0, precise:0.75, number:4, true_num:3
threshold:0.8, recall:1.0, precise:0.75, number:4, true_num:3
threshold:0.85, recall:1.0, precise:0.6, number:5, true_num:3
threshold:0.9, recall:1.0, precise:0.6, number:5, true_num:3
threshold:0.95, recall:1.0, precise:0.6, number:5, true_num:3
threshold:1.0, recall:1.0, precise:0.5, number:6, true_num:3
