threshold:0.05, recall:0, precise:0, number:0, true_num:0
threshold:0.1, recall:0.09090909090909091, precise:1.0, number:1, true_num:1
threshold:0.15, recall:0.18181818181818182, precise:1.0, number:2, true_num:2
threshold:0.2, recall:0.2727272727272727, precise:1.0, number:3, true_num:3
threshold:0.25, recall:0.36363636363636365, precise:1.0, number:4, true_num:4
threshold:0.3, recall:0.36363636363636365, precise:1.0, number:4, true_num:4
threshold:0.35, recall:0.45454545454545453, precise:1.0, number:5, true_num:5
threshold:0.4, recall:0.5454545454545454, precise:1.0, number:6, true_num:6
threshold:0.45, recall:0.6363636363636364, precise:1.0, number:7, true_num:7
threshold:0.5, recall:0.7272727272727273, precise:1.0, number:8, true_num:8
threshold:0.55, recall:0.7272727272727273, precise:1.0, number:8, true_num:8
threshold:0.6, recall:0.8181818181818182, precise:1.0, number:9, true_num:9
threshold:0.65, recall:0.9090909090909091, precise:1.0, number:10, true_num:10
threshold:0.7, recall:1.0, precise:1.0, number:11, true_num:11
threshold:0.75, recall:1.0, precise:0.9166666666666666, number:12, true_num:11
threshold:0.8, recall:1.0, precise:0.9166666666666666, number:12, true_num:11
threshold:0.85, recall:1.0, precise:0.8461538461538461, number:13, true_num:11
threshold:0.9, recall:1.0, precise:0.7857142857142857, number:14, true_num:11
threshold:0.95, recall:1.0, precise:0.7333333333333333, number:15, true_num:11
threshold:1.0, recall:1.0, precise:0.6875, number:16, true_num:11

threshold:0.05, recall:0, precise:0, number:0, true_num:0
threshold:0.1, recall:0.07692307692307693, precise:1.0, number:1, true_num:1
threshold:0.15, recall:0.15384615384615385, precise:1.0, number:2, true_num:2
threshold:0.2, recall:0.23076923076923078, precise:1.0, number:3, true_num:3
threshold:0.25, recall:0.3076923076923077, precise:1.0, number:4, true_num:4
threshold:0.3, recall:0.38461538461538464, precise:1.0, number:5, true_num:5
threshold:0.35, recall:0.46153846153846156, precise:1.0, number:6, true_num:6
threshold:0.4, recall:0.5384615384615384, precise:1.0, number:7, true_num:7
threshold:0.45, recall:0.6153846153846154, precise:1.0, number:8, true_num:8
threshold:0.5, recall:0.6923076923076923, precise:1.0, number:9, true_num:9
threshold:0.55, recall:0.7692307692307693, precise:1.0, number:10, true_num:10
threshold:0.6, recall:0.8461538461538461, precise:1.0, number:11, true_num:11
threshold:0.65, recall:0.8461538461538461, precise:0.9166666666666666, number:12, true_num:11
threshold:0.7, recall:0.9230769230769231, precise:0.9230769230769231, number:13, true_num:12
threshold:0.75, recall:1.0, precise:0.9285714285714286, number:14, true_num:13
threshold:0.8, recall:1.0, precise:0.8666666666666667, number:15, true_num:13
threshold:0.85, recall:1.0, precise:0.8125, number:16, true_num:13
threshold:0.9, recall:1.0, precise:0.7647058823529411, number:17, true_num:13
threshold:0.95, recall:1.0, precise:0.7222222222222222, number:18, true_num:13
threshold:1.0, recall:1.0, precise:0.6842105263157895, number:19, true_num:13

threshold:0.05, recall:0, precise:0, number:0, true_num:0
threshold:0.1, recall:0, precise:0, number:0, true_num:0
threshold:0.15, recall:0, precise:0, number:0, true_num:0
threshold:0.2, recall:0, precise:0, number:0, true_num:0
threshold:0.25, recall:0, precise:0, number:0, true_num:0
threshold:0.3, recall:0, precise:0, number:0, true_num:0
threshold:0.35, recall:0, precise:0, number:0, true_num:0
threshold:0.4, recall:0, precise:0, number:0, true_num:0
threshold:0.45, recall:0, precise:0, number:0, true_num:0
threshold:0.5, recall:0.5, precise:1.0, number:1, true_num:1
threshold:0.55, recall:0.5, precise:1.0, number:1, true_num:1
threshold:0.6, recall:0.5, precise:1.0, number:1, true_num:1
threshold:0.65, recall:0.5, precise:1.0, number:1, true_num:1
threshold:0.7, recall:0.5, precise:1.0, number:1, true_num:1
threshold:0.75, recall:0.5, precise:1.0, number:1, true_num:1
threshold:0.8, recall:0.5, precise:1.0, number:1, true_num:1
threshold:0.85, recall:0.5, precise:1.0, number:1, true_num:1
threshold:0.9, recall:0.5, precise:1.0, number:1, true_num:1
threshold:0.95, recall:0.5, precise:1.0, number:1, true_num:1
threshold:1.0, recall:1.0, precise:1.0, number:2, true_num:2
